StationCode,SampleID,Total Count,Count Flag,Number of Iteration,Number of Oligochaeta taxa,Number of EOT Taxa,Number of Scraper taxa,Number of Predator Taxa,Percent Coleoptera,Percent EOT,Percent Tanypodinae to Chironomidae,Percent Dominant,Oligochaeta Score,EOT Taxa Score,Scraper Score,Predator Taxa Score,Coleoptera Score,Percent EOT Score,Percent Tanypodinae to Chironomidae Score,Percent Dominant Score,IBI Score,Tanypodinae,Chironominae,Chironomidae
402DLG000,402DLG000,480,Within specifications,1,3,3,3,3,1.04,35.83,0,54.58,5,4,10,1,6,10,0,10,57.19,0,6,12
404BFM002,404BFM002,500,Adequate,1,0,1,0,1,0,0.2,0,80,10,2,0,0,0,0,0,3,19.19,0,0,1
404BFM004,404BFM004,517,Adequate,20,1.9,0,1,2.95,0,0,31.6635,84.28,7.2,0,5,0.95,0,0,4.75,1,24,1,0,3
404BFM006,404BFM006,489,Within specifications,1,2,0,1,2,0,0,16.67,76.48,7,0,5,0,0,0,2,4,22.69,1,4,6
404CRX000,404CRX000,511,Adequate,20,1,0,0,0,0,0,0,99.21,9,0,0,0,0,0,0,0,11.81,0,4,4
404NFP000,404NFP000,490,Within specifications,1,2,1,2,4,0,1.84,0,52.65,7,2,10,3,0,0,0,10,39.81,0,20,45
404ZUN000,404ZUN000,497,Within specifications,1,2,0,1,3,0,0,0,94.57,7,0,5,1,0,0,0,0,16.69,0,1,1
411HRL000,411HRL000,487,Within specifications,1,5,0,3,2,0,0,11.94,66.53,2,0,10,0,0,0,1,9,27.06,8,46,67
411MAD000,411MAD000,504,Adequate,20,2,1,3,3.95,1,0.2,0,75.36,7,2,10,2.9,5,0,0,5,40,0,11,13
801ITR000,801ITR000,502,Adequate,20,3,0,1,4,0,0,6.271,84.25,5,0,5,3,0,0,1,1,19,1,13,16
801LAG001,801LAG001,509,Adequate,20,2,2.95,2,8.95,0.57,2.74,35.2185,58.73,7,3.9,10,9,2.85,0,5,10,59.5,7,11,20
801LAG002,801LAG002,513,Adequate,20,2,3.9,0,9.85,0.79,13.76,33.409,57.28,7,5.8,0,9.85,3.95,4,4.9,10,56.69,8,16,24
801LAG003,801LAG003,495,Within specifications,1,2,2,1,7,0,9.9,50,60.61,7,2,5,7,0,3,7,10,51.06,6,5,12
801LAG004,801LAG004,489,Within specifications,1,2,5,0,11,0.2,13.29,8.82,58.28,7,8,0,10,1,4,1,10,51.06,3,28,34
802MUR000,802MUR000,495,Within specifications,1,0,2,1,4,1.62,1.01,0,90.91,10,2,5,3,9,0,0,0,36.88,0,58,67
903FOS000,903FOS000,491,Within specifications,1,2,0,0,3,0.2,0,0,89.82,7,0,0,1,1,0,0,0,11.69,0,0,0
903GJL000,903GJL000,512,Adequate,20,2,0,1,1.9,0,0,0,73.98,7,0,5,0,0,0,0,5.85,22.38,0,11,12
904AHC000,904AHC000,498,Within specifications,1,2,3,2,9,0.6,2.21,23.08,86.95,7,4,10,9,3,0,3,1,46.62,3,10,13
904PAR000,904PAR000,455,Within specifications,1,2,1,1,7,4.4,1.54,0.96,55.82,7,2,5,7,10,0,0,10,51.06,1,103,104
907SDR000,907SDR000,506,Adequate,20,5,2,2.95,5,0.79,25.08,10.976,49.22,2,2,10,4,3.95,7.9,1,10,50.56,4,28,37
911DMP000,911DMP000,486,Within specifications,1,2,1,1,6,0,0.21,0,80.66,7,2,5,6,0,0,0,3,29,0,0,0
